20210104 000000000,1.19960,1.19980,0
20210104 000100000,1.20055,1.20075,0
20210104 000200000,1.20149,1.20169,0
20210104 000300000,1.20243,1.20263,0
20210104 000400000,1.20335,1.20355,0
20210104 000500000,1.20344,1.20364,0
20210104 000600000,1.20434,1.20454,0
20210104 000700000,1.20523,1.20543,0
20210104 000800000,1.20610,1.20630,0
20210104 000900000,1.20694,1.20714,0
20210104 001000000,1.20693,1.20713,0
20210104 001100000,1.20773,1.20793,0
20210104 001200000,1.20850,1.20870,0
20210104 001300000,1.20924,1.20944,0
20210104 001400000,1.20912,1.20932,0
20210104 001500000,1.20979,1.20999,0
20210104 001600000,1.21044,1.21064,0
20210104 001700000,1.21105,1.21125,0
20210104 001800000,1.21162,1.21182,0
20210104 001900000,1.21132,1.21152,0
20210104 002000000,1.21182,1.21202,0
20210104 002100000,1.21229,1.21249,0
20210104 002200000,1.21271,1.21291,0
20210104 002300000,1.21226,1.21246,0
20210104 002400000,1.21262,1.21282,0
20210104 002500000,1.21293,1.21313,0
20210104 002600000,1.21321,1.21341,0
20210104 002700000,1.21346,1.21366,0
20210104 002800000,1.21283,1.21303,0
20210104 002900000,1.21301,1.21321,0
20210104 003000000,1.21316,1.21336,0
20210104 003100000,1.21328,1.21348,0
20210104 003200000,1.21338,1.21358,0
20210104 003300000,1.21261,1.21281,0
20210104 003400000,1.21265,1.21285,0
20210104 003500000,1.21268,1.21288,0
20210104 003600000,1.21269,1.21289,0
20210104 003700000,1.21184,1.21204,0
20210104 003800000,1.21182,1.21202,0
20210104 003900000,1.21178,1.21198,0
20210104 004000000,1.21174,1.21194,0
20210104 004100000,1.21169,1.21189,0
20210104 004200000,1.21081,1.21101,0
20210104 004300000,1.21076,1.21096,0
20210104 004400000,1.21071,1.21091,0
20210104 004500000,1.21067,1.21087,0
20210104 004600000,1.20979,1.20999,0
20210104 004700000,1.20977,1.20997,0
20210104 004800000,1.20976,1.20996,0
20210104 004900000,1.20976,1.20996,0
20210104 005000000,1.20978,1.20998,0
20210104 005100000,1.20898,1.20918,0
20210104 005200000,1.20904,1.20924,0
20210104 005300000,1.20912,1.20932,0
20210104 005400000,1.20922,1.20942,0
20210104 005500000,1.20935,1.20955,0
20210104 005600000,1.20868,1.20888,0
20210104 005700000,1.20887,1.20907,0
20210104 005800000,1.20908,1.20928,0
20210104 005900000,1.20933,1.20953,0
20210104 010000000,1.20877,1.20897,0
20210104 010100000,1.20908,1.20928,0
20210104 010200000,1.20942,1.20962,0
20210104 010300000,1.20979,1.20999,0
20210104 010400000,1.21019,1.21039,0
20210104 010500000,1.20979,1.20999,0
20210104 010600000,1.21025,1.21045,0
20210104 010700000,1.21074,1.21094,0
20210104 010800000,1.21125,1.21145,0
20210104 010900000,1.21096,1.21116,0
20210104 011000000,1.21153,1.21173,0
20210104 011100000,1.21212,1.21232,0
20210104 011200000,1.21273,1.21293,0
20210104 011300000,1.21336,1.21356,0
20210104 011400000,1.21317,1.21337,0
20210104 011500000,1.21383,1.21403,0
20210104 011600000,1.21451,1.21471,0
20210104 011700000,1.21520,1.21540,0
20210104 011800000,1.21589,1.21609,0
